sample_id,split,x0,x1,x2,x3,x4,x5,target
0,train,-0.76176023,0.00503151,0.02364543,0.72000118,-0.7947263,-0.55343089,-0.02507962
1,train,0.56674676,0.09562291,0.46107798,0.53623065,0.50205192,0.17304169,0.37817675
2,train,-0.52013184,0.22840856,-0.77852691,0.63352271,-0.10069033,0.62952538,0.13147562
3,train,-0.57955068,-0.49697379,0.9598247,0.8586346,0.6102718,0.99931225,0.46035688
4,train,0.02717509,-0.8473602,-0.31921086,0.11490107,-0.41575625,-0.0851044,-0.14384298
5,train,0.15484672,-0.9505214,0.42172467,-0.27291554,-0.15556501,-0.20245335,-0.043822
6,train,0.17143563,-0.00308983,-0.76710411,0.0127175,0.50029358,0.20033049,0.09116435
7,train,-0.48271314,-0.1600677,0.85246624,-0.04162007,0.03597447,-0.94924772,0.08480827
8,train,-0.55095026,-0.7420023,-0.90222459,0.40932528,0.77364932,-0.79484724,-0.06419457
9,train,-0.03577377,-0.54214546,0.77184242,0.25334101,-0.08640731,-0.06118793,0.18149729
10,train,0.85892938,0.97445124,0.09126453,0.11959211,0.33950786,-0.38474544,0.43174128
11,train,-0.04221419,0.76890019,-0.13386634,-0.41125171,-0.46192813,-0.93378147,0.00089711
12,train,0.31128542,0.19454643,-0.08354509,0.04577762,-0.02096494,0.84301944,0.3183858
13,train,0.02253356,0.65234702,0.61591855,0.11567601,0.81453244,0.66280584,0.51085804
14,train,-0.36668579,0.83362339,-0.80325202,0.37866626,0.57016806,0.03034667,0.21692836
15,train,0.93453557,0.68487955,-0.0417075,-0.87140969,-0.46706772,-0.00315849,0.2220058
16,train,-0.80667491,0.49510264,-0.17737832,-0.10121037,-0.97193491,-0.99957206,-0.22012471
17,train,-0.83386887,0.58754121,-0.50432478,0.24214932,0.50371001,0.91273378,0.27721551
18,train,0.33695426,0.27081697,-0.69047819,-0.37311453,0.16613088,0.53905563,0.14797095
19,train,0.44094527,-0.73027082,-0.55414466,0.17586903,0.91655492,0.75198759,0.29648655
20,train,0.00944278,-0.83113358,0.33710975,0.87011183,0.56687592,0.83003228,0.37842134
21,train,0.61598999,0.04006184,-0.60660578,-0.97173625,-0.78773212,0.77554152,0.05576028
22,train,-0.89724925,-0.30596431,-0.29319438,0.53906748,-0.94841953,0.02077568,-0.11609479
23,train,-0.3479145,-0.75725431,0.89756433,0.14323644,0.60987723,-0.69221883,0.16990934
24,train,0.03922746,-0.13278486,-0.32716227,0.19643921,0.35699661,-0.86098305,-0.01888071
25,train,0.8429109,-0.90952682,0.08953288,0.67796061,-0.09635829,0.50941939,0.30244685
26,train,-0.62294141,0.42189098,0.7556338,-0.74172044,0.05987311,0.5708179,0.17796703
27,train,-0.67921864,0.68874945,-0.22005713,-0.14929145,-0.17182642,-0.84268237,-0.02523555
28,train,-0.39018148,-0.31186805,-0.47311262,-0.00479516,0.5604961,-0.16852521,0.01147037
29,train,-0.03589443,-0.75978876,0.59320494,0.593424,0.63230468,0.69573988,0.34148651
30,train,-0.53733037,0.90734776,0.75724154,0.29135842,-0.18399507,0.56662768,0.40033427
31,train,0.92239724,-0.29609968,-0.68648175,0.12400509,0.14466449,0.07675748,0.20567658
32,train,-0.780613,0.43202508,0.11159952,0.13608303,-0.57112989,-0.41059976,-0.04134802
33,train,-0.79708852,-0.47257456,0.90975135,-0.65744983,0.36909458,0.51822547,0.17943485
34,train,0.44471663,-0.62900962,0.26017307,0.0132534,-0.44642786,0.67478247,0.16978039
35,train,-0.4782834,-0.87424184,-0.17671533,0.79610814,0.55355859,-0.17094348,0.12673262
36,train,-0.96914002,-0.80710017,-0.95404459,-0.75395937,0.37165303,0.1529621,-0.26241059
37,train,0.55951355,0.21451012,0.3094342,0.23028967,0.84948792,-0.36787254,0.37572781
38,train,-0.56872754,-0.07466031,0.95822423,0.75680641,0.37292693,0.72260154,0.43500326
39,train,-0.22190539,0.89412725,-0.28736418,0.47077384,-0.12651728,-0.95267337,0.13213133
40,train,0.39060125,-0.42088861,0.91656845,0.59968625,-0.75536954,0.53578683,0.3219995
41,train,0.08431368,-0.31503232,0.12172568,0.44335645,-0.7748048,0.23794058,0.08465388
42,train,-0.7634341,-0.74863609,-0.2919187,0.29578693,0.31159968,-0.94241165,-0.1955049
43,train,-0.23178817,-0.52138804,-0.15802911,-0.56086941,-0.74958388,0.08585413,-0.23642863
44,train,0.32312537,0.86933092,0.36750428,-0.20628315,-0.49005138,-0.70463325,0.20038001
45,train,-0.04231341,-0.47236776,-0.37051062,0.88845568,0.18730101,0.67910658,0.2803304
46,train,0.10596423,0.30042647,0.92261106,0.02809344,-0.46955442,0.26601311,0.31935235
47,train,0.31573544,-0.97718134,0.95625733,-0.05890988,0.94038724,0.35828639,0.36154819
48,train,0.72421424,0.85445924,0.81209034,-0.20185134,0.95234235,0.90199981,0.66424255
49,train,-0.3126241,-0.5980412,-0.28178222,0.27402279,0.09759102,-0.05187468,-0.02832903
50,train,0.57725791,0.1611594,-0.62419545,0.25603319,-0.69244073,0.78759539,0.22926928
51,train,0.67012011,0.40469719,0.59073272,0.27823264,-0.83158537,-0.25441227,0.2284819
52,train,0.46201657,-0.72407882,0.47904015,0.99762261,-0.96329511,-0.56575483,0.17051964
53,train,0.14525867,0.91108546,-0.23883627,0.92628661,0.03319187,0.28809352,0.41542949
54,train,-0.68391211,0.01752295,-0.82892656,0.46515185,-0.33278011,-0.47711186,-0.1086944
55,train,0.57448766,-0.67557869,-0.41417387,0.08233063,-0.28555336,0.94550819,0.21905008
56,train,-0.6226057,0.49400538,-0.98110233,0.21190227,-0.03997579,-0.15469419,-0.02044983
57,train,0.95804584,0.9936204,-0.65822953,0.03238076,-0.64075379,0.07819283,0.26783297
58,train,-0.67212401,0.77438489,0.02998441,0.76464843,0.28680969,-0.9960146,0.17001895
59,train,-0.5676173,-0.69154788,0.2200372,-0.74695107,0.97006645,-0.03087041,0.10200301
60,train,0.74795475,0.45324832,-0.23760286,0.23390934,0.29509115,-0.30440187,0.29249257
61,train,0.0378927,0.65728632,0.36706808,-0.08813232,0.17063034,-0.83490106,0.16487166
62,train,0.55809225,-0.82426621,-0.01037439,-0.37594755,0.50658451,-0.54790416,0.02527938
63,train,-0.33657473,0.81421113,0.44769714,0.71450268,-0.19386129,-0.64651347,0.26669856
64,train,0.61275538,-0.55965845,0.37832218,-0.30290684,0.57436798,-0.18060017,0.18670276
65,train,-0.69124291,0.48605875,0.31368261,-0.74483193,-0.464742,0.67129216,0.07485579
